Index,Invoke Time (s),Use Size (bytes),Total Size (bytes),Total Object,GC Time (ms)
1,0.05748906300000001,1058280,2555280,63882,0.856
2,0.05894682100000001,1145120,2555280,63882,0.189
3,0.06315677400000001,1542960,3079440,76986,0.584
4,0.06663450800000001,2055440,3669120,91728,0.835
5,0.071213486,2748080,4520880,113022,1.303
6,0.07387064300000001,2944520,4586400,114660,0.311
7,0.08532211,4038000,6224400,155610,1.727
8,0.095901443,5489240,8255520,206388,2.81
9,0.11053166700000001,7490200,10876320,271908,4.22
10,0.11859614400000001,8155200,11007360,275184,0.823
11,0.147450235,11160560,15790320,394758,5.51
12,0.175437542,15358480,21490560,537264,9.045
13,0.21638109800000002,21137160,29221920,730548,12.42
14,0.239459053,22998280,29615040,740376,2.59
15,0.324229207,31730560,43308720,1082718,16.752
16,0.405684447,43797000,59688720,1492218,25.788
17,0.45395615800000005,47517880,60540480,1513512,5.236
18,0.595913565,59304520,76658400,1916460,24.762
19,0.712383612,76029720,99983520,2499588,37.391
20,0.7807755500000001,81551520,101097360,2527434,7.175
21,1.041991187,102939600,133857360,3346434,46.444
22,1.127792038,109689120,135298800,3382470,8.943
23,1.44272105,132086480,167796720,4194918,48.245
24,1.629158025,157079000,198787680,4969692,60.272
25,1.7321740360000002,164823640,200360160,5009004,281.113
