Index,Invoke Time (s),Use Size (bytes),Total Size (bytes),Total Object,GC Time (ms)
1,0.05857356700000001,1058320,2555280,63882,0.537
2,0.05963878900000001,1145040,2555280,63882,0.155
3,0.06320505900000001,1542880,3079440,76986,0.542
4,0.06645381,2055440,3669120,91728,0.776
5,0.071531096,2748000,4520880,113022,1.365
6,0.07424316700000001,2944360,4586400,114660,0.342
7,0.0849382,4117080,6355440,158886,2.152
8,0.095460236,5601720,8386560,209664,2.782
9,0.10951788700000001,7656520,11138400,278460,4.28
10,0.11734902700000002,8276080,11269440,281736,0.883
11,0.14677663800000001,11536080,16380000,409500,6.057
12,0.17621788300000002,15874040,22145760,553644,9.3
13,0.21935169300000001,21870560,30204720,755118,13.075
14,0.24342302700000001,23639480,30663360,766584,2.642
15,0.33494346700000005,33462880,45798480,1144962,18.453
16,0.419332058,45676520,61916400,1547910,27.029
17,0.46849354000000004,49658480,62768160,1569204,5.479
18,0.666158202,65045000,86093280,2152332,33.851
19,0.830532363,88132200,118329120,2958228,50.926
20,0.923790735,95634040,119901600,2997540,13.025
21,1.2246846150000001,118161320,151940880,3798522,57.998
22,1.3280729400000002,125209440,153447840,3836196,12.455
23,1.764277463,147590640,185356080,4633902,55.652
24,1.929402929,164823640,202194720,5054868,288.628
